,line,filename,entity,len,lineNo,email,url,phone,sigdelimiter,special,words,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioNB,lenRatio,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
0,"Lisa,",0.txt,no_entity,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,L,0,1,1,0,0,1,7,85.0,5,239,4,3,1,2,0,0,1,1,0.14285714285714285,0.3333333333333333,0.058823529411764705,1,0,1,1
1,I apologize for the delay!  This is a new one for us and they are taking their sweet time on getting the paper work back to us.  I have copied Pam LaRue on this email as you can see and she will respond to you on how that process is going.,0.txt,no_entity,239,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,0,1,1,0,0,0,7,85.0,5,239,4,3,1,1,0,1,1,1,0.2857142857142857,0.6666666666666666,2.8117647058823527,0,1,0,0
2,Rhonda,0.txt,signature,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,1,0,0,0,1,7,85.0,5,239,4,3,1,0,1,0,1,1,0.42857142857142855,1.0,0.07058823529411765,1,0,1,1
3,"Hi Rhonda,",1.txt,no_entity,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,1,1,0,0,1,11,232.0,9,823,5,6,4,5,0,0,0,1,0.09090909090909091,0.16666666666666666,0.04310344827586207,1,0,1,1
4, I know you are not the one who is working on this but I forgot who was....Can you tell me who and forward this email to that person.  I'm a little concerned about my State Income Tax deduction.  I have not yet seen any withdraws from my check and I know State of Oregon will charge you penalties if you exceed a certain amount per quarter.  Please look into this as soon as you can.  Thank You.,1.txt,no_entity,395,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,1,0,0,0,11,232.0,9,823,5,6,4,4,0,0,1,1,0.18181818181818182,0.3333333333333333,1.7025862068965518,0,1,0,0
5,lisa,1.txt,signature,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,l,0,1,0,0,0,0,11,232.0,9,823,5,6,4,3,0,0,1,1,0.2727272727272727,0.5,0.017241379310344827,1,0,1,1
6,**********************************************************************,1.txt,signature,70,4,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,*,0,1,1,1,1,0,11,232.0,9,823,5,6,4,2,0,0,1,1,0.36363636363636365,0.6666666666666666,0.3017241379310345,1,0,1,1
7,"This e-mail is the property of Enron Corp. and/or its relevant affiliate and may contain confidential and privileged material for the sole use of the intended recipient (s). Any review, use, distribution or disclosure by others is strictly prohibited. If you are not the intended recipient (or authorized to receive for the recipient), please contact the sender or reply to Enron Corp. at enron.messaging.administration@enron.com and delete all copies of the message. This e-mail (and any attachments hereto) are not intended to be an offer (or an acceptance) and do not create or evidence a binding and enforceable contract between Enron Corp. (or any of its affiliates) and the intended recipient or any other party, and may not be relied on by anyone as the basis of a contract by estoppel or otherwise. Thank you. ",1.txt,signature,818,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,11,232.0,9,823,5,6,4,1,0,1,1,1,0.45454545454545453,0.8333333333333334,3.5258620689655173,0,1,0,0
8,**********************************************************************,1.txt,signature,70,6,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,*,0,1,1,1,1,0,11,232.0,9,823,5,6,4,0,1,0,1,1,0.5454545454545454,1.0,0.3017241379310345,1,0,1,1
9,"Leo/Monika,",10.txt,no_entity,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,1,1,0,0,1,7,29.0,7,68,4,3,1,2,0,0,1,1,0.14285714285714285,0.3333333333333333,0.3793103448275862,1,0,1,1
10,Mea culpa.  I forgot to include you on my distribution list.  Sorry.,10.txt,no_entity,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,1,1,0,0,0,7,29.0,7,68,4,3,1,1,0,1,1,1,0.2857142857142857,0.6666666666666666,2.3448275862068964,0,1,0,0
11,KC,10.txt,signature,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,1,0,0,0,0,7,29.0,7,68,4,3,1,0,1,0,1,1,0.42857142857142855,1.0,0.06896551724137931,1,0,1,1
12,We are assuming we will be physical on Monday Feb 11 in Canada.,100.txt,no_entity,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,3,48.0,33,63,1,2,0,1,0,1,1,1,0.3333333333333333,0.5,1.3125,0,1,0,0
13,Let me know if there is an issue.,100.txt,no_entity,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,1,1,0,0,0,3,48.0,33,63,1,2,0,0,1,0,1,1,0.6666666666666666,1.0,0.6875,1,0,1,0
14,"Rick, ",101.txt,no_entity,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,1,1,0,0,1,8,72.0,6,256,4,4,2,3,0,0,1,1,0.125,0.25,0.08333333333333333,1,0,1,1
15,What is Rudi Zipter's status?  He has sent a couple of emails to Bobbi Tessandori our immigration representative .  He has taken vacation and paternity and repatriated back to the US.  Is he working in the office? Is he going to be retained? Please advise.,101.txt,no_entity,256,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,1,1,0,0,0,8,72.0,6,256,4,4,2,2,0,0,1,1,0.25,0.5,3.5555555555555554,0,1,0,0
16,"Regards,",101.txt,signature,8,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,R,0,1,1,0,0,1,8,72.0,6,256,4,4,2,1,0,1,1,1,0.375,0.75,0.1111111111111111,1,0,1,1
17,Frank  ,101.txt,signature,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,1,1,0,0,1,8,72.0,6,256,4,4,2,0,1,0,1,1,0.5,1.0,0.09722222222222222,1,0,1,1
18,"Lisa,",102.txt,no_entity,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,L,0,1,1,0,0,1,7,41.0,5,138,3,4,2,3,0,0,1,1,0.14285714285714285,0.25,0.12195121951219512,1,0,1,1
19,     Breakfast sandwiches and coffee could be in order this morn.   Let me know if you are down and when you can go.    Also tell Jsarnow.,102.txt,no_entity,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,1,1,0,0,0,7,41.0,5,138,3,4,2,2,0,0,1,1,0.2857142857142857,0.5,3.3658536585365852,0,1,0,0
20,"late,",102.txt,signature,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,l,0,1,1,0,0,0,7,41.0,5,138,3,4,2,1,0,1,1,1,0.42857142857142855,0.75,0.12195121951219512,1,0,1,1
21,Darren,102.txt,signature,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,1,0,0,0,1,7,41.0,5,138,3,4,2,0,1,0,1,1,0.5714285714285714,1.0,0.14634146341463414,1,0,1,1
22,"This is a presentation I put together for Derek, but it was some general info that may be of interest to you.",103.txt,no_entity,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,0,1,1,0,0,0,8,120.0,54,196,5,3,0,2,0,0,1,1,0.125,0.3333333333333333,0.9083333333333333,1,0,0,0
