,line,filename,entity,len,lineNo,blank,email,url,phone,sigdelimiter,special,words,header,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,num90,num50,num10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,nSigBlocks,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioFromEnd,posRatioNB,lenRatio,lenRatioMax,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
0,---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/26/2000 ,allen-p_all_documents_113,no_entity,74,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,-,0,0,1,0,0,0,0,1,0,20,37.0,0,76,5,15,0,0,19,0,0,0,0,0.05,0.95,0.06666666666666667,2.0,0.9736842105263158,0,1,0,0
1,04:26 PM ---------------------------,allen-p_all_documents_113,no_entity,36,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,20,37.0,0,76,5,15,0,0,18,0,0,0,0,0.1,0.9,0.13333333333333333,0.972972972972973,0.47368421052631576,1,0,0,0
2,,allen-p_all_documents_113,no_entity,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,20,37.0,0,76,5,15,0,0,17,0,0,0,0,0.15,0.85,0.2,0.0,0.0,1,0,1,1
3,,allen-p_all_documents_113,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,20,37.0,0,76,5,15,0,0,16,0,0,0,0,0.2,0.8,0.26666666666666666,0.0,0.0,1,0,1,1
4,"""George Richards"" <cbpres@austin.rr.com> on 09/26/2000 01:18:45 PM",allen-p_all_documents_113,no_entity,66,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"""",0,0,1,0,0,0,0,1,0,20,37.0,0,76,5,15,0,0,15,0,0,0,0,0.25,0.75,0.3333333333333333,1.7837837837837838,0.868421052631579,0,1,0,0
5,Please respond to <cbpres@austin.rr.com>,allen-p_all_documents_113,no_entity,40,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,1,0,0,0,0,0,0,20,37.0,0,76,5,15,0,0,14,0,0,0,0,0.3,0.7,0.4,1.0810810810810811,0.5263157894736842,0,1,0,0
6,"To: ""Phillip Allen"" <pallen@enron.com>",allen-p_all_documents_113,no_entity,38,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,0,0,0,20,37.0,0,76,5,15,0,0,13,0,0,0,0,0.35,0.65,0.4666666666666667,1.027027027027027,0.5,0,1,0,0
7,"cc: ""Larry Lewter"" <retwell@mail.sanmarcos.net>, ""Claudia L. Crocker"" ",allen-p_all_documents_113,no_entity,70,8,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,c,0,0,1,0,0,0,0,0,0,20,37.0,0,76,5,15,0,0,12,0,0,0,0,0.4,0.6,0.5333333333333333,1.8918918918918919,0.9210526315789473,0,1,0,0
8,<clclegal2@aol.com> ,allen-p_all_documents_113,no_entity,20,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,<,0,0,1,0,0,0,0,0,0,20,37.0,0,76,5,15,0,0,11,0,0,0,0,0.45,0.55,0.6,0.5405405405405406,0.2631578947368421,1,0,1,0
9,Subject: Investment Structure,allen-p_all_documents_113,no_entity,29,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,S,0,0,1,0,0,0,0,0,1,20,37.0,0,76,5,15,0,0,10,0,0,0,1,0.5,0.5,0.6666666666666666,0.7837837837837838,0.3815789473684211,1,0,0,0
