,line,filename,entity,len,lineNo,blank,email,url,phone,sigdelimiter,special,words,header,name,endquote,tabs1,tabs2,tabs3,punct20,punct50,punct90,reply,startpunct,firstchar,replypunct,wrote,alphanum90,alphanum50,alphanum10,num90,num50,num10,title,nlines,len_avg,len_min,len_max,nBlanks,nNonBlanks,nSig,nSigBlocks,posFromEnd,last,prevlast,last5,last11,posRatio,posRatioFromEnd,posRatioNB,lenRatio,lenRatioMax,less_avg_len,more_avg_len,less_avg_len75,less_avg_len50
0,"Lisa,",0.txt,no_entity,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,L,0,0,1,0,0,0,0,0,1,5,51.0,0,239,2,3,1,1,4,0,0,1,1,0.2,0.8,0.3333333333333333,0.09803921568627451,0.02092050209205021,1,0,1,1
1,,0.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,5,51.0,0,239,2,3,1,1,3,0,0,1,1,0.4,0.6,0.6666666666666666,0.0,0.0,1,0,1,1
2,I apologize for the delay!  This is a new one for us and they are taking their sweet time on getting the paper work back to us.  I have copied Pam LaRue on this email as you can see and she will respond to you on how that process is going.,0.txt,no_entity,239,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,I,0,0,1,0,0,0,0,0,0,5,51.0,0,239,2,3,1,1,2,0,0,1,1,0.6,0.4,1.0,4.686274509803922,1.0,0,1,0,0
3,,0.txt,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,5,51.0,0,239,2,3,1,1,1,0,1,1,1,0.8,0.2,1.3333333333333333,0.0,0.0,1,0,1,1
4,Rhonda,0.txt,signature,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,0,0,0,0,0,0,1,5,51.0,0,239,2,3,1,1,0,1,0,1,1,1.0,0.0,1.6666666666666667,0.11764705882352941,0.02510460251046025,1,0,1,1
5,"Hi Rhonda,",1.txt,no_entity,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,1,0,0,0,0,0,1,10,139.0,0,823,4,6,4,2,9,0,0,0,1,0.1,0.9,0.16666666666666666,0.07194244604316546,0.012150668286755772,1,0,1,1
6,,1.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,10,139.0,0,823,4,6,4,2,8,0,0,0,1,0.2,0.8,0.3333333333333333,0.0,0.0,1,0,1,1
7, I know you are not the one who is working on this but I forgot who was....Can you tell me who and forward this email to that person.  I'm a little concerned about my State Income Tax deduction.  I have not yet seen any withdraws from my check and I know State of Oregon will charge you penalties if you exceed a certain amount per quarter.  Please look into this as soon as you can.  Thank You.,1.txt,no_entity,395,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, ,0,0,1,0,0,0,0,0,0,10,139.0,0,823,4,6,4,2,7,0,0,0,1,0.3,0.7,0.5,2.841726618705036,0.479951397326853,0,1,0,0
8,,1.txt,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,10,139.0,0,823,4,6,4,2,6,0,0,0,1,0.4,0.6,0.6666666666666666,0.0,0.0,1,0,1,1
9,lisa,1.txt,signature,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,l,0,0,0,0,0,0,0,0,0,10,139.0,0,823,4,6,4,2,5,0,0,0,1,0.5,0.5,0.8333333333333334,0.02877697841726619,0.004860267314702308,1,0,1,1
10,,1.txt,no_entity,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,10,139.0,0,823,4,6,4,2,4,0,0,1,1,0.6,0.4,1.0,0.0,0.0,1,0,1,1
11,,1.txt,no_entity,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,10,139.0,0,823,4,6,4,2,3,0,0,1,1,0.7,0.3,1.1666666666666667,0.0,0.0,1,0,1,1
12,**********************************************************************,1.txt,signature,70,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,*,0,0,1,1,1,0,0,0,0,10,139.0,0,823,4,6,4,2,2,0,0,1,1,0.8,0.2,1.3333333333333333,0.5035971223021583,0.0850546780072904,1,0,1,0
13,"This e-mail is the property of Enron Corp. and/or its relevant affiliate and may contain confidential and privileged material for the sole use of the intended recipient (s). Any review, use, distribution or disclosure by others is strictly prohibited. If you are not the intended recipient (or authorized to receive for the recipient), please contact the sender or reply to Enron Corp. at enron.messaging.administration@enron.com and delete all copies of the message. This e-mail (and any attachments hereto) are not intended to be an offer (or an acceptance) and do not create or evidence a binding and enforceable contract between Enron Corp. (or any of its affiliates) and the intended recipient or any other party, and may not be relied on by anyone as the basis of a contract by estoppel or otherwise. Thank you. ",1.txt,signature,818,9,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,T,0,0,1,0,0,0,0,0,0,10,139.0,0,823,4,6,4,2,1,0,1,1,1,0.9,0.1,1.5,5.884892086330935,0.9939246658566221,0,1,0,0
14,**********************************************************************,1.txt,signature,70,10,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,*,0,0,1,1,1,0,0,0,0,10,139.0,0,823,4,6,4,2,0,1,0,1,1,1.0,0.0,1.6666666666666667,0.5035971223021583,0.0850546780072904,1,0,1,0
15,"Leo/Monika,",10.txt,no_entity,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,1,0,0,0,0,0,1,5,18.0,0,68,2,3,1,1,4,0,0,1,1,0.2,0.8,0.3333333333333333,0.6111111111111112,0.16176470588235295,1,0,1,0
16,,10.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,5,18.0,0,68,2,3,1,1,3,0,0,1,1,0.4,0.6,0.6666666666666666,0.0,0.0,1,0,1,1
17,Mea culpa.  I forgot to include you on my distribution list.  Sorry.,10.txt,no_entity,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,1,0,0,0,0,0,0,5,18.0,0,68,2,3,1,1,2,0,0,1,1,0.6,0.4,1.0,3.7777777777777777,1.0,0,1,0,0
18,,10.txt,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,5,18.0,0,68,2,3,1,1,1,0,1,1,1,0.8,0.2,1.3333333333333333,0.0,0.0,1,0,1,1
19,KC,10.txt,signature,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,5,18.0,0,68,2,3,1,1,0,1,0,1,1,1.0,0.0,1.6666666666666667,0.1111111111111111,0.029411764705882353,1,0,1,1
20,We are assuming we will be physical on Monday Feb 11 in Canada.,100.txt,no_entity,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,0,0,1,0,0,0,0,0,0,2,48.0,33,63,0,2,0,0,1,0,1,1,1,0.5,0.5,0.5,1.3125,1.0,0,1,0,0
21,Let me know if there is an issue.,100.txt,no_entity,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,0,0,1,0,0,0,0,0,0,2,48.0,33,63,0,2,0,0,0,1,0,1,1,1.0,0.0,1.0,0.6875,0.5238095238095238,1,0,1,0
22,"Rick, ",101.txt,no_entity,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,0,1,0,0,0,0,0,1,6,48.0,0,256,2,4,2,1,5,0,0,0,1,0.16666666666666666,0.8333333333333334,0.25,0.125,0.0234375,1,0,1,1
23,,101.txt,no_entity,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,6,48.0,0,256,2,4,2,1,4,0,0,1,1,0.3333333333333333,0.6666666666666666,0.5,0.0,0.0,1,0,1,1
24,What is Rudi Zipter's status?  He has sent a couple of emails to Bobbi Tessandori our immigration representative .  He has taken vacation and paternity and repatriated back to the US.  Is he working in the office? Is he going to be retained? Please advise.,101.txt,no_entity,256,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,W,0,0,1,0,0,0,0,0,0,6,48.0,0,256,2,4,2,1,3,0,0,1,1,0.5,0.5,0.75,5.333333333333333,1.0,0,1,0,0
25,,101.txt,no_entity,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,0,0,0,6,48.0,0,256,2,4,2,1,2,0,0,1,1,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1,0,1,1
26,"Regards,",101.txt,signature,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,R,0,0,1,0,0,0,0,0,1,6,48.0,0,256,2,4,2,1,1,0,1,1,1,0.8333333333333334,0.16666666666666666,1.25,0.16666666666666666,0.03125,1,0,1,1
27,Frank  ,101.txt,signature,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F,0,0,1,0,0,0,0,0,1,6,48.0,0,256,2,4,2,1,0,1,0,1,1,1.0,0.0,1.5,0.14583333333333334,0.02734375,1,0,1,1
